,code_prime,lon,lat,address,codes_ordered,gaps,distances,grand_date_b,grand_date_e,date_b_s,date_e_s,lats,lons,date_b_s_old,date_e_s_old,highest,highestplus1,duration,probability_not_occurr
2575,6300220,13417,3332,東洋町生見,[6300220],[],[],2004-05-26,2023-12-31,['2004-05-26'],['2023-12-31'],[3332],[13417],,,4.0,5.0,6063.0,0.8211364261741615
2576,5400031,13603,3443,奈良市月ヶ瀬尾山,[5400031],[],[],1998-12-15,2023-12-31,['1998-12-15'],['2023-12-31'],[3443],[13603],,,4.0,5.0,8052.0,0.8211364261741615
2577,3501730,13947,3544,東京荒川区荒川,[3501730],[],[],1999-07-21,2023-12-31,['1999-07-21'],['2023-12-31'],[3544],[13947],,,5.0,6.0,7834.0,0.8211365550645016
2578,5630130,13314,3532,境港市上道町,[5630130],[],[],1998-10-15,2023-12-31,['1998-10-15'],['2023-12-31'],[3532],[13314],,,6.0,7.0,8113.0,0.8211666785151565
2579,3314030,13943,3601,宮代町中央宮代町笠原,"[3314030, 3314031]",[0],[0.0],1997-11-10,2023-12-31,"['1997-11-10', '2005-07-07']","['2005-07-07', '2023-12-31']","[3601, 3601]","[13943, 13943]",,,6.0,7.0,8452.0,0.8216167231829054
2580,3900200,13722,3727,珠洲市三崎町,[3900200],[],[],1994-07-15,2023-12-31,['1994-07-15'],['2023-12-31'],[3727],[13722],,,4.0,5.0,9666.0,0.8217850534798113
2581,5111930,13546,3449,京田辺市田辺,[5111930],[],[],1998-10-15,2023-12-31,['1998-10-15'],['2023-12-31'],[3449],[13546],,,5.0,6.0,8113.0,0.8219167757169004
2582,2330100,14029,3910,湯沢市沖鶴,[2330100],[],[],1996-04-01,2023-12-31,['1996-04-01'],['2023-12-31'],[3910],[14029],,,5.0,6.0,9040.0,0.8219167757169006
2583,2500220,14011,3707,白河市新白河,[2500220],[],[],2006-06-20,2023-12-31,['2006-06-20'],['2023-12-31'],[3707],[14011],,,6.0,7.0,5308.0,0.8220724611439472
2584,3300830,13936,3604,久喜市菖蒲,[3300830],[],[],1997-11-10,2023-12-31,['1997-11-10'],['2023-12-31'],[3604],[13936],,,5.0,6.0,8452.0,0.8221377666507146
2585,5710032,13216,3452,浜田市旭町今市,"[5710032, 5710035]",[0],[0.0],1998-06-15,2023-12-31,"['1998-06-15', '2011-08-02']","['2011-08-02', '2023-12-31']","[3452, 3452]","[13216, 13216]",,,4.0,5.0,8235.0,0.8222232048339899
2586,6311330,13340,3346,大豊町高須,[6311330],[],[],2001-07-19,2023-12-31,['2001-07-19'],['2023-12-31'],[3346],[13340],,,4.0,5.0,7105.0,0.8222232048339899
2587,4302021,13718,3620,飛騨市神岡町東町,"[4302021, 4302033, 4302036]","[0, 0]","[0.0, 0.0, 0.0]",2004-11-01,2023-12-31,"['2004-11-01', '2011-01-06', '2017-01-19']","['2011-01-06', '2017-01-19', '2023-12-31']","[3620, 3620, 3620]","[13718, 13718, 13718]",,,4.0,5.0,5904.0,0.8222232048339899
2588,7200021,12955,3325,唐津市竹木場,[7200021],[],[],2007-03-01,2023-12-31,['2007-03-01'],['2023-12-31'],[3325],[12955],,,4.0,5.0,5054.0,0.82222320483399
2589,3800330,13727,3652,黒部市新天黒部市植木,"[3800330, 3800332]",[0],[1.85],2000-07-18,2023-12-31,"['2000-07-18', '2012-10-25']","['2012-10-25', '2023-12-31']","[3652, 3653]","[13727, 13727]",,,4.0,5.0,7471.0,0.82222320483399
2590,3800830,13719,3640,立山町米沢,[3800830],[],[],2000-07-18,2023-12-31,['2000-07-18'],['2023-12-31'],[3640],[13719],,,4.0,5.0,7471.0,0.82222320483399
2591,1060000,14045,4149,函館市美原,"[1060000, 1060002]",[0],[0.0],1919-01-01,2023-12-31,"['1919-01-01', '2019-03-26']","['2019-03-26', '2023-12-31']","[4149, 4149]","[14045, 14045]",,,5.0,6.0,37255.0,0.8223286065847057
2592,2332930,14035,3928,秋田美郷町土崎,[2332930],[],[],1997-11-10,2023-12-31,['1997-11-10'],['2023-12-31'],[3928],[14035],,,5.0,6.0,8452.0,0.8225334188962347
2593,3900030,13652,3704,七尾市田鶴浜町七尾市垣吉町,"[3900030, 3900010, 3900033, 3900036]","[1, 0, 0]","[1.48, 1.48, 2.96, 0.0, 1.48, 1.48]",1998-10-15,2023-12-31,"['1998-10-15', '2007-03-28', '2008-04-01', '2017-07-13']","['2007-03-27', '2008-04-01', '2017-07-13', '2023-12-31']","[3704, 3704, 3704, 3704]","[13652, 13653, 13653, 13654]","['1998-10-15', '2007-03-28', '2008-04-01', '2017-06-28']",,6.0,7.0,8112.0,0.822697859108201
2594,4430131,13751,3443,磐田市国府台,[4430131],[],[],1998-06-15,2023-12-31,['1998-06-15'],['2023-12-31'],[3443],[13751],,,4.0,5.0,8235.0,0.822967682590372
2595,4221830,13735,3515,根羽村役場,"[4221830, 4221831, 4221832]","[0, 0]","[0.0, 0.0, 0.0]",1999-07-21,2023-12-31,"['1999-07-21', '2010-03-31', '2018-10-01']","['2010-03-31', '2018-10-01', '2023-12-31']","[3515, 3515, 3515]","[13735, 13735, 13735]","['1999-07-21', '2010-03-31', '2018-09-07']",,4.0,5.0,7834.0,0.8229676825903721
2596,4000732,13624,3605,永平寺町栗住波永平寺町山王,"[4000732, 4000734]",[0],[0.0],1998-06-15,2023-12-31,"['1998-06-15', '2018-04-09']","['2018-04-09', '2023-12-31']","[3605, 3605]","[13624, 13624]",,,4.0,5.0,8235.0,0.8233263400881297
2597,7770230,13012,3028,屋久島町口永良部島公民館,"[7770230, 7770231]",[0],[0.0],1998-10-15,2023-12-31,"['1998-10-15', '2011-05-12']","['2011-05-12', '2023-12-31']","[3028, 3028]","[13012, 13012]",,,4.0,5.0,8113.0,0.8233263400881297
